id,prediction
0,car
1,car
2,car
3,car
4,big
5,big
6,this
7,big
8,big
9,small
10,small
11,dog
12,is
13,bird
14,.
15,.
16,.
17,big
18,this
19,big
20,big
21,car
22,this
23,big
24,big
25,in
26,in
27,.
28,this
29,big
30,big
31,big
32,big
33,big
34,car
35,car
36,big
37,the
38,big
39,big
40,.
41,big
42,big
43,car
44,small
45,this
46,small
47,big
48,.
49,big
50,in
51,in
52,big
53,this
54,.
55,.
56,big
57,.
58,in
59,in
60,house
61,a
62,a
63,is
64,is
65,small
66,small
67,small
68,.
69,.
70,big
71,.
72,car
73,car
74,.
75,a
76,house
77,a
78,a
79,big
80,big
81,dog
82,dog
83,dog
84,park
85,big
86,the
87,big
88,big
89,big
90,big
91,a
92,a
93,a
94,a
95,this
96,big
97,small
98,small
99,a
100,a
101,a
102,the
103,big
104,big
105,.
106,.
107,big
108,the
109,small
110,chases
111,.
112,.
113,.
114,.
115,.
116,chases
117,chases
118,.
119,.
120,.
121,small
122,small
123,a
124,the
125,the
126,in
127,big
128,big
129,park
130,the
131,is
132,is
133,big
134,.
135,.
136,.
137,.
138,.
139,.
140,.
141,.
142,.
143,.
144,.
145,car
146,car
147,is
148,is
149,is
150,a
151,a
152,is
153,small
154,small
155,.
156,a
157,a
158,.
159,big
160,big
161,big
162,the
163,.
164,.
165,big
166,is
167,.
168,.
169,.
170,.
171,small
172,is
173,is
174,is
175,the
176,the
177,this
178,big
179,a
180,the
181,cat
182,in
183,in
184,big
185,big
186,big
187,dog
188,big
189,big
190,big
191,big
192,big
193,house
194,a
195,a
196,.
197,big
198,park
199,is
200,is
201,a
202,.
203,.
204,.
205,house
206,.
207,this
208,big
209,big
210,this
211,big
212,big
213,this
214,the
215,the
216,big
217,big
218,big
219,small
220,small
221,.
222,car
223,cat
224,a
225,a
226,small
227,house
228,a
229,a
230,.
231,.
232,.
233,.
234,.
235,big
236,this
237,is
238,is
239,car
240,car
241,this
242,.
243,.
244,bird
245,car
246,car
247,a
248,a
249,cat
250,house
251,small
252,small
253,house
254,small
255,.
256,.
257,small
258,small
259,small
260,big
261,big
262,.
263,.
264,small
265,small
266,this
267,this
268,car
269,big
270,big
271,this
272,big
273,big
274,big
275,big
276,.
277,park
278,.
279,.
280,.
281,.
282,a
283,bird
284,this
285,a
286,house
287,cat
288,small
289,a
290,small
291,.
292,.
293,car
294,car
295,car
296,car
297,bird
298,bird
299,bird
300,.
301,.
302,a
303,a
304,a
305,a
306,chases
307,this
308,in
309,in
310,car
311,this
312,a
313,small
314,small
315,small
316,cat
317,cat
318,a
319,.
320,.
321,in
322,house
323,big
324,big
325,this
326,big
327,.
328,.
329,.
330,.
331,the
332,chases
333,.
334,.
335,.
336,small
337,dog
338,dog
339,dog
340,dog
341,the
342,big
343,this
344,bird
345,this
346,this
347,cat
348,cat
349,small
350,small
351,small
352,park
353,is
354,chases
355,a
356,in
357,a
358,this
359,.
360,.
361,car
362,this
363,this
364,.
365,.
366,.
367,park
368,big
369,is
370,is
371,is
372,big
373,big
374,.
375,is
376,is
377,in
378,the
379,in
380,big
381,dog
382,dog
383,the
384,the
385,big
386,is
387,is
388,this
389,this
390,big
391,park
392,the
393,.
394,.
395,dog
396,big
397,house
398,.
399,.
400,.
401,.
402,.
403,.
404,.
405,.
406,.
407,.
408,the
409,big
410,small
411,small
412,.
413,.
414,this
415,big
416,big
417,.
418,.
419,dog
420,.
421,.
422,big
423,big
424,small
425,the
426,house
427,house
428,cat
429,a
430,a
431,chases
432,chases
433,.
434,.
435,big
436,this
437,this
438,this
439,a
440,small
441,small
442,small
443,.
444,small
445,.
446,.
447,.
448,is
449,is
450,the
451,chases
452,big
453,big
454,this
455,.
456,a
457,a
458,a
459,.
460,.
461,.
462,cat
463,this
464,bird
465,big
466,.
