id,prediction
0,big
1,.
2,car
3,car
4,big
5,bird
6,this
7,.
8,car
9,a
10,cat
11,is
12,car
13,in
14,.
15,this
16,big
17,big
18,this
19,car
20,big
21,bird
22,this
23,bird
24,this
25,.
26,.
27,this
28,bird
29,big
30,big
31,car
32,in
33,car
34,.
35,car
36,big
37,this
38,is
39,car
40,big
41,dog
42,big
43,chases
44,a
45,near
46,the
47,this
48,big
49,.
50,.
51,big
52,this
53,this
54,near
55,.
56,this
57,.
58,chases
59,chases
60,house
61,a
62,a
63,is
64,is
65,house
66,a
67,.
68,.
69,park
70,near
71,.
72,car
73,big
74,.
75,small
76,small
77,a
78,.
79,big
80,big
81,dog
82,is
83,park
84,.
85,park
86,the
87,this
88,big
89,bird
90,cat
91,is
92,a
93,a
94,a
95,in
96,a
97,small
98,cat
99,a
100,is
101,the
102,park
103,big
104,is
105,.
106,big
107,the
108,the
109,chases
110,chases
111,.
112,dog
113,.
114,dog
115,chases
116,chases
117,.
118,.
119,cat
120,.
121,a
122,small
123,the
124,is
125,the
126,big
127,big
128,big
129,the
130,the
131,dog
132,is
133,big
134,.
135,.
136,this
137,.
138,.
139,chases
140,the
141,dog
142,.
143,park
144,cat
145,car
146,is
147,is
148,dog
149,the
150,a
151,a
152,is
153,cat
154,small
155,.
156,a
157,a
158,.
159,chases
160,this
161,big
162,the
163,.
164,the
165,chases
166,the
167,.
168,near
169,.
170,a
171,in
172,house
173,is
174,chases
175,the
176,the
177,this
178,big
179,cat
180,big
181,cat
182,.
183,chases
184,big
185,park
186,near
187,big
188,big
189,dog
190,big
191,park
192,dog
193,small
194,.
195,a
196,big
197,big
198,park
199,is
200,a
201,.
202,.
203,.
204,park
205,near
206,a
207,big
208,big
209,this
210,.
211,this
212,car
213,this
214,the
215,park
216,big
217,the
218,car
219,small
220,a
221,car
222,.
223,cat
224,a
225,a
226,house
227,house
228,is
229,a
230,.
231,.
232,dog
233,bird
234,is
235,big
236,this
237,sees
238,this
239,car
240,chases
241,car
242,.
243,big
244,bird
245,sees
246,car
247,a
248,big
249,cat
250,chases
251,.
252,chases
253,house
254,small
255,.
256,big
257,small
258,a
259,small
260,big
261,the
262,.
263,.
264,small
265,a
266,big
267,car
268,near
269,this
270,this
271,big
272,big
273,big
274,.
275,this
276,near
277,park
278,.
279,small
280,.
281,chases
282,small
283,car
284,this
285,house
286,house
287,cat
288,big
289,house
290,small
291,.
292,.
293,is
294,car
295,car
296,sees
297,bird
298,bird
299,big
300,.
301,.
302,is
303,a
304,the
305,chases
306,chases
307,this
308,.
309,.
310,car
311,this
312,a
313,cat
314,house
315,small
316,cat
317,cat
318,a
319,.
320,.
321,chases
322,house
323,car
324,this
325,this
326,car
327,.
328,.
329,park
330,the
331,chases
332,chases
333,.
334,cat
335,small
336,a
337,park
338,dog
339,dog
340,park
341,big
342,near
343,big
344,big
345,this
346,dog
347,bird
348,this
349,chases
350,car
351,the
352,dog
353,chases
354,chases
355,a
356,.
357,small
358,this
359,.
360,car
361,bird
362,is
363,big
364,.
365,big
366,park
367,chases
368,.
369,big
370,is
371,is
372,this
373,car
374,in
375,.
376,chases
377,is
378,near
379,in
380,dog
381,big
382,dog
383,the
384,is
385,park
386,is
387,is
388,likes
389,the
390,big
391,park
392,near
393,.
394,park
395,park
396,park
397,cat
398,a
399,.
400,the
401,park
402,.
403,big
404,near
405,.
406,big
407,the
408,big
409,chases
410,is
411,a
412,.
413,is
414,this
415,big
416,big
417,is
418,big
419,park
420,.
421,big
422,bird
423,this
424,small
425,the
426,house
427,small
428,house
429,a
430,chases
431,.
432,.
433,.
434,big
435,this
436,big
437,this
438,this
439,park
440,small
441,.
442,small
443,chases
444,in
445,.
446,chases
447,chases
448,in
449,the
450,near
451,chases
452,car
453,likes
454,big
455,.
456,a
457,a
458,a
459,.
460,car
461,chases
462,house
463,chases
464,big
465,the
466,in
467,bird
468,.
469,this
470,car
471,big
472,a
473,a
474,house
475,.
476,chases
477,.
478,house
479,small
480,.
481,a
482,cat
483,big
484,big
485,car
486,big
487,car
488,chases
489,.
490,car
491,.
492,.
493,big
494,in
495,this
496,chases
497,big
498,near
499,bird
500,big
501,small
502,house
503,a
504,chases
505,sees
506,a
507,a
508,small
509,cat
510,chases
511,dog
512,bird
513,this
514,big
515,car
516,bird
517,near
518,dog
519,the
520,is
521,the
522,in
523,big
524,on
525,chases
526,chases
527,park
528,big
529,big
530,big
531,chases
532,park
533,.
534,a
535,.
536,small
537,house
538,a
539,is
540,house
541,.
542,a
543,cat
544,.
545,a
546,chases
547,house
548,is
549,.
550,a
551,.
552,house
553,is
554,.
555,car
556,is
557,.
558,in
559,.
560,is
561,a
562,small
563,house
564,is
565,car
566,car
567,big
568,near
569,.
570,big
571,small
572,.
573,in
574,house
575,small
576,house
577,small
578,a
579,near
580,small
581,is
582,a
583,near
584,house
585,is
586,bird
587,this
588,is
589,is
590,this
591,this
592,likes
593,.
594,big
595,the
596,.
597,.
598,near
599,cat
600,house
601,house
602,park
603,dog
604,this
605,chases
606,car
607,is
608,cat
609,.
610,park
611,.
612,house
613,park
614,near
615,small
616,cat
617,a
618,cat
619,the
620,the
621,small
622,a
623,.
624,big
625,park
626,big
627,park
628,is
629,.
630,bird
631,this
632,.
633,big
634,sees
635,small
636,small
637,small
638,big
639,cat
640,a
641,cat
642,a
643,a
644,cat
645,small
646,small
647,this
648,this
649,big
650,this
651,.
652,dog
653,car
654,this
655,car
656,this
657,this
658,car
659,.
660,this
661,this
662,this
663,this
664,big
665,this
666,cat
667,cat
668,house
669,a
670,a
671,near
672,car
673,is
674,is
675,is
676,near
677,a
678,park
679,the
680,park
681,dog
682,.
683,is
684,in
685,car
686,chases
687,big
688,this
689,in
690,is
691,this
692,car
693,.
694,car
695,car
696,this
697,sees
698,is
699,big
700,this
701,bird
702,this
703,car
704,is
705,.
706,dog
707,the
708,dog
709,small
710,this
711,car
712,this
713,.
714,this
715,bird
716,.
717,park
718,is
719,park
720,.
721,park
722,park
723,the
724,big
725,big
726,big
727,the
728,dog
729,big
730,.
731,dog
732,is
733,dog
734,near
735,a
736,cat
737,house
738,bird
739,big
740,big
741,is
742,this
743,small
744,near
745,.
746,small
747,chases
748,house
749,small
750,small
751,small
752,small
753,a
754,near
755,the
756,the
757,big
758,big
759,the
760,big
761,park
762,the
763,dog
764,big
765,bird
766,house
767,cat
768,is
769,this
770,the
771,small
772,small
773,big
774,big
775,park
776,dog
777,dog
778,park
779,big
780,is
781,chases
782,is
783,house
784,house
785,a
786,a
787,small
788,big
789,sees
790,bird
791,bird
792,big
793,a
794,small
795,in
796,big
797,big
798,the
799,is
800,house
801,this
802,bird
803,near
804,this
805,is
806,.
807,a
808,near
809,a
810,small
811,small
812,this
813,in
814,this
815,near
816,this
817,sees
818,car
819,this
820,is
821,small
822,small
823,the
824,big
825,house
826,car
827,big
828,big
829,park
830,the
831,park
832,big
833,the
834,.
835,big
836,dog
837,big
838,near
839,.
840,a
841,dog
842,park
843,park
844,.
845,big
846,park
847,is
848,the
849,the
850,small
851,big
852,sees
853,car
854,.
855,this
856,car
857,.
858,the
859,the
860,park
861,.
862,small
863,a
864,house
865,a
866,is
867,big
868,sees
869,.
870,park
871,is
872,park
873,in
874,small
875,big
876,is
877,a
878,chases
879,a
880,small
881,is
882,is
883,small
884,a
885,small
886,small
887,small
888,small
889,cat
890,chases
891,small
892,park
893,cat
894,small
895,small
896,.
897,.
898,small
899,sees
900,big
901,the
902,near
903,near
904,park
905,the
906,big
907,.
908,park
909,dog
910,is
911,is
912,the
913,.
914,.
915,dog
916,dog
917,dog
918,the
919,.
920,the
921,cat
922,.
923,in
924,big
925,big
926,the
927,big
928,this
929,chases
930,cat
931,small
932,.
933,house
934,chases
935,is
936,house
937,.
938,a
939,small
940,the
941,a
942,chases
943,.
944,house
945,near
946,the
947,park
948,the
949,chases
950,dog
951,the
952,the
953,chases
954,the
955,dog
956,dog
957,.
958,the
959,is
960,is
961,dog
962,in
963,.
964,big
965,park
966,.
967,is
968,house
969,a
970,park
971,sees
972,is
973,.
974,this
975,car
976,sees
977,big
978,.
979,car
980,big
981,the
982,.
983,the
984,.
985,.
986,small
987,the
988,big
989,is
990,this
991,this
992,.
993,a
994,a
995,a
996,small
997,is
998,small
999,.
1000,.
1001,chases
1002,.
1003,.
1004,this
1005,this
1006,car
1007,the
1008,car
1009,is
1010,big
1011,this
1012,chases
1013,in
1014,big
1015,near
1016,bird
1017,car
1018,this
1019,bird
1020,.
1021,in
1022,car
1023,bird
1024,big
1025,this
1026,big
1027,this
1028,car
1029,is
1030,.
1031,car
1032,a
1033,the
1034,.
1035,a
1036,park
1037,.
1038,this
1039,.
1040,.
1041,park
1042,this
1043,.
1044,.
1045,car
1046,this
1047,car
1048,near
1049,this
1050,this
1051,the
1052,park
1053,chases
1054,the
1055,big
1056,dog
1057,big
1058,the
1059,in
1060,park
1061,.
1062,.
1063,this
1064,big
1065,.
1066,in
1067,.
1068,bird
1069,this
1070,this
1071,bird
1072,big
1073,this
1074,car
1075,this
1076,car
1077,big
1078,near
1079,.
1080,house
1081,.
1082,big
1083,small
1084,.
1085,house
1086,small
1087,in
1088,a
1089,is
1090,.
1091,the
1092,big
1093,dog
1094,dog
1095,dog
1096,big
1097,sees
1098,bird
1099,this
1100,.
1101,the
1102,the
1103,big
1104,.
1105,is
1106,the
1107,.
1108,the
1109,the
1110,park
1111,big
1112,the
1113,.
1114,big
1115,car
1116,near
1117,big
1118,is
1119,car
1120,big
1121,a
1122,a
1123,cat
1124,this
1125,this
1126,in
1127,park
1128,big
1129,car
1130,.
1131,the
1132,is
1133,dog
1134,.
1135,car
1136,car
1137,in
1138,sees
1139,chases
1140,.
1141,big
1142,.
1143,house
1144,chases
1145,.
1146,chases
1147,in
1148,.
1149,this
1150,this
1151,dog
1152,big
1153,big
1154,chases
1155,park
1156,.
1157,a
1158,house
1159,big
1160,is
1161,chases
1162,is
1163,the
1164,the
1165,is
1166,bird
1167,car
1168,car
1169,house
1170,a
1171,small
1172,a
1173,house
1174,a
1175,dog
1176,this
1177,this
1178,this
1179,.
1180,car
1181,is
1182,park
1183,park
1184,.
1185,in
1186,near
1187,a
1188,a
1189,a
1190,near
1191,the
1192,the
1193,big
1194,the
1195,the
1196,.
1197,a
1198,a
1199,is
1200,dog
1201,this
1202,bird
1203,near
1204,big
1205,house
1206,a
1207,.
1208,in
1209,cat
1210,cat
1211,a
1212,.
1213,a
1214,cat
1215,cat
1216,dog
1217,is
1218,near
1219,park
1220,big
1221,.
1222,the
1223,the
1224,the
1225,is
1226,big
1227,.
1228,chases
1229,a
1230,a
1231,house
1232,the
1233,big
1234,big
1235,dog
1236,dog
1237,the
1238,is
1239,this
1240,.
1241,big
1242,this
1243,this
1244,cat
1245,cat
1246,this
1247,bird
1248,car
1249,car
1250,big
1251,this
1252,.
1253,is
1254,big
1255,big
1256,big
1257,the
1258,chases
1259,chases
1260,this
1261,chases
1262,sees
1263,big
1264,big
1265,.
1266,big
1267,dog
1268,the
1269,chases
1270,big
1271,the
1272,.
1273,near
1274,.
1275,is
1276,.
1277,park
1278,the
1279,cat
1280,cat
1281,small
1282,.
1283,.
1284,house
1285,a
1286,cat
1287,a
1288,small
1289,.
1290,.
1291,.
1292,chases
1293,dog
1294,the
1295,in
1296,the
1297,park
1298,is
1299,chases
1300,house
1301,near
1302,small
1303,small
1304,small
